Time,Market Price
2020-05-31 03:54:23.711576,9565.58
2020-05-31 03:54:24.817369,9564.75
2020-05-31 03:54:25.894823,9565.84
2020-05-31 03:54:27.037302,9566.68
2020-05-31 03:54:28.071578,9566.97
2020-05-31 03:54:29.197283,9567.03
2020-05-31 03:54:30.255396,9564.75
2020-05-31 03:54:31.392046,9565.67
2020-05-31 03:54:32.457907,9565.93
2020-05-31 03:54:33.540764,9565.42
2020-05-31 03:54:34.681859,9565.26
2020-05-31 03:54:35.735473,9564.84
2020-05-31 03:54:36.820000,9565.21
2020-05-31 03:54:37.963928,9564.96
2020-05-31 03:54:39.079541,9564.23
2020-05-31 03:54:40.112012,9564.12
2020-05-31 03:54:41.149288,9563.83
2020-05-31 03:54:42.199365,9564.47
2020-05-31 03:54:43.273543,9563.76
2020-05-31 03:54:44.431193,9564.64
2020-05-31 03:54:45.548387,9563.55
2020-05-31 03:54:46.598528,9563.82
2020-05-31 03:54:47.661327,9563.38
2020-05-31 03:54:48.714463,9563.42
2020-05-31 03:54:49.892395,9564.18
2020-05-31 03:54:50.928188,9564.28
2020-05-31 03:54:51.995827,9564.6
2020-05-31 03:54:53.071016,9564.12
2020-05-31 03:54:54.168818,9563.87
2020-05-31 03:54:55.315054,9563.34
2020-05-31 03:54:56.341573,9563.31
2020-05-31 03:54:57.383951,9563.3
2020-05-31 03:54:58.523700,9563.09
2020-05-31 03:54:59.616594,9563.11
2020-05-31 03:55:00.648414,9563.14
2020-05-31 03:55:01.672152,9563.21
2020-05-31 03:55:02.734304,9561.48
2020-05-31 03:55:03.775570,9561.78
2020-05-31 03:55:04.911048,9562.04
2020-05-31 03:55:05.982936,9562.26
2020-05-31 03:55:07.112375,9564.69
2020-05-31 03:55:08.173878,9565.3
2020-05-31 03:55:09.237806,9565.02
2020-05-31 03:55:10.406141,9564.6
2020-05-31 03:55:11.445865,9564.69
2020-05-31 03:55:12.506921,9564.29
2020-05-31 03:55:13.611860,9563.85
2020-05-31 03:55:14.722817,9563.49
2020-05-31 03:55:15.847098,9563.41
2020-05-31 03:55:16.878073,9563.05
2020-05-31 03:55:17.898484,9563.09
2020-05-31 03:55:19.014055,9564.75
2020-05-31 03:55:20.116838,9565.05
2020-05-31 03:55:21.151542,9565.05
2020-05-31 03:55:22.276853,9564.59
2020-05-31 03:55:23.375444,9563.18
2020-05-31 03:55:24.464333,9564.74
2020-05-31 03:55:25.640842,9565.0
2020-05-31 03:55:26.709110,9563.98
2020-05-31 03:55:27.760009,9564.6
2020-05-31 03:55:28.812059,9564.85
2020-05-31 03:55:29.905840,9564.1
2020-05-31 03:55:31.034769,9564.57
2020-05-31 03:55:32.108618,9564.4
2020-05-31 03:55:33.138059,9564.51
2020-05-31 03:55:34.227458,9564.82
2020-05-31 03:55:35.415369,9563.99
2020-05-31 03:55:36.449770,9563.96
2020-05-31 03:55:37.516554,9564.07
2020-05-31 03:55:38.585590,9563.95
2020-05-31 03:55:39.697786,9564.08
2020-05-31 03:55:40.861660,9564.49
2020-05-31 03:55:41.882804,9563.63
2020-05-31 03:55:42.928990,9563.62
2020-05-31 03:55:44.017208,9563.95
2020-05-31 03:55:45.138865,9564.01
2020-05-31 03:55:46.246636,9563.93
2020-05-31 03:55:47.320945,9564.29
2020-05-31 03:55:48.394995,9564.01
2020-05-31 03:55:49.480508,9563.83
2020-05-31 03:55:50.622897,9564.57
2020-05-31 03:55:51.666795,9564.53
2020-05-31 03:55:52.768284,9563.24
2020-05-31 03:55:53.845207,9563.89
2020-05-31 03:55:54.942959,9563.75
2020-05-31 03:55:56.100967,9564.28
2020-05-31 03:55:57.149972,9564.36
2020-05-31 03:55:58.244768,9563.55
2020-05-31 03:55:59.293149,9564.09
2020-05-31 03:56:00.412223,9563.83
2020-05-31 03:56:01.535018,9563.71
2020-05-31 03:56:02.568056,9564.83
2020-05-31 03:56:03.684807,9564.85
2020-05-31 03:56:04.742333,9563.71
2020-05-31 03:56:05.862989,9563.03
2020-05-31 03:56:06.900028,9562.74
2020-05-31 03:56:07.942648,9563.05
2020-05-31 03:56:08.996982,9563.1
2020-05-31 03:56:10.086758,9563.68
2020-05-31 03:56:11.167545,9563.4
2020-05-31 03:56:12.231889,9563.32
2020-05-31 03:56:13.283571,9563.47
2020-05-31 03:56:14.372899,9563.26
2020-05-31 03:56:15.476163,9563.34
2020-05-31 03:56:16.587207,9563.28
2020-05-31 03:56:17.568246,9563.28
2020-05-31 03:56:18.638774,9563.5
2020-05-31 03:56:19.700186,9563.2
2020-05-31 03:56:20.827579,9563.57
2020-05-31 03:56:22.015075,9563.69
2020-05-31 03:56:23.058409,9563.43
2020-05-31 03:56:24.134875,9562.71
2020-05-31 03:56:25.160133,9562.81
2020-05-31 03:56:26.331573,9563.07
2020-05-31 03:56:27.412462,9563.72
2020-05-31 03:56:28.470528,9563.81
2020-05-31 03:56:29.635409,9563.78
2020-05-31 03:56:30.688847,9563.69
2020-05-31 03:56:31.758801,9563.89
2020-05-31 03:56:32.821559,9563.77
2020-05-31 03:56:33.888079,9563.42
2020-05-31 03:56:35.003195,9562.47
2020-05-31 03:56:36.139241,9562.51
2020-05-31 03:56:37.283040,9566.01
2020-05-31 03:56:38.320797,9562.54
2020-05-31 03:56:39.362978,9562.72
2020-05-31 03:56:40.465835,9562.51
2020-05-31 03:56:41.625253,9562.75
2020-05-31 03:56:42.684747,9562.05
2020-05-31 03:56:43.711149,9562.13
2020-05-31 03:56:44.778063,9561.73
2020-05-31 03:56:45.881643,9562.07
2020-05-31 03:56:47.020910,9562.01
2020-05-31 03:56:48.043418,9561.95
2020-05-31 03:56:49.135799,9562.11
2020-05-31 03:56:50.195498,9562.43
2020-05-31 03:56:51.233217,9562.42
2020-05-31 03:56:52.314689,9561.02
2020-05-31 03:56:53.421751,9562.54
2020-05-31 03:56:54.497590,9562.78
2020-05-31 03:56:55.628215,9562.62
2020-05-31 03:56:56.801911,9563.03
2020-05-31 03:56:57.929342,9562.87
2020-05-31 03:56:58.964127,9562.34
2020-05-31 03:57:00.037822,9560.43
2020-05-31 03:57:01.126865,9560.94
2020-05-31 03:57:02.231947,9560.27
2020-05-31 03:57:03.347019,9561.14
2020-05-31 03:57:04.339891,9561.14
2020-05-31 03:57:05.399196,9562.11
2020-05-31 03:57:06.516351,9561.25
2020-05-31 03:57:07.597712,9561.33
2020-05-31 03:57:08.683657,9560.85
2020-05-31 03:57:09.795442,9561.71
2020-05-31 03:57:10.866945,9561.46
2020-05-31 03:57:11.979414,9562.75
2020-05-31 03:57:13.105038,9562.08
2020-05-31 03:57:14.178886,9561.51
2020-05-31 03:57:15.304640,9559.76
2020-05-31 03:57:16.398854,9560.23
2020-05-31 03:57:17.569886,9560.78
2020-05-31 03:57:18.609857,9560.35
2020-05-31 03:57:19.651942,9560.12
2020-05-31 03:57:20.688007,9560.17
2020-05-31 03:57:21.762287,9560.08
2020-05-31 03:57:22.894657,9560.25
2020-05-31 03:57:23.934730,9560.34
2020-05-31 03:57:25.012638,9560.72
2020-05-31 03:57:26.079947,9560.51
2020-05-31 03:57:27.221784,9562.04
2020-05-31 03:57:28.375411,9560.2
2020-05-31 03:57:29.473995,9561.86
2020-05-31 03:57:30.529495,9560.34
2020-05-31 03:57:31.556310,9560.37
2020-05-31 03:57:32.705199,9560.47
2020-05-31 03:57:33.831040,9561.39
2020-05-31 03:57:34.874553,9560.37
2020-05-31 03:57:35.948163,9561.09
2020-05-31 03:57:37.017365,9560.92
2020-05-31 03:57:38.146088,9561.49
2020-05-31 03:57:39.194614,9561.28
2020-05-31 03:57:40.270507,9560.84
2020-05-31 03:57:41.349066,9561.28
2020-05-31 03:57:42.438357,9560.1
2020-05-31 03:57:43.588013,9560.18
2020-05-31 03:57:44.621733,9560.69
2020-05-31 03:57:45.664025,9560.44
2020-05-31 03:57:46.746140,9559.96
2020-05-31 03:57:47.909866,9560.08
2020-05-31 03:57:49.037042,9560.93
2020-05-31 03:57:50.072576,9560.7
2020-05-31 03:57:51.175966,9560.56
2020-05-31 03:57:52.219462,9560.34
2020-05-31 03:57:53.326518,9559.7
2020-05-31 03:57:54.373509,9559.61
2020-05-31 03:57:55.483679,9560.04
2020-05-31 03:57:56.571461,9559.49
2020-05-31 03:57:57.694798,9558.75
2020-05-31 03:57:58.858871,9557.07
2020-05-31 03:57:59.903499,9557.18
2020-05-31 03:58:00.938254,9557.87
2020-05-31 03:58:01.978000,9559.42
2020-05-31 03:58:03.102237,9558.98
2020-05-31 03:58:04.383988,9558.31
2020-05-31 03:58:05.415281,9557.74
2020-05-31 03:58:06.431348,9559.45
2020-05-31 03:58:07.485753,9557.49
2020-05-31 03:58:08.514186,9557.49
2020-05-31 03:58:09.604544,9559.23
2020-05-31 03:58:10.638254,9558.71
2020-05-31 03:58:11.736319,9558.48
2020-05-31 03:58:12.882952,9557.79
2020-05-31 03:58:13.959826,9558.4
2020-05-31 03:58:15.024388,9558.31
2020-05-31 03:58:16.102328,9557.97
2020-05-31 03:58:17.161375,9555.77
2020-05-31 03:58:18.309863,9555.8
2020-05-31 03:58:19.494560,9555.76
2020-05-31 03:58:20.541929,9557.07
2020-05-31 03:58:21.567535,9557.47
2020-05-31 03:58:22.619997,9557.4
2020-05-31 03:58:23.731039,9557.2
2020-05-31 03:58:24.924599,9557.17
2020-05-31 03:58:25.970651,9557.0
2020-05-31 03:58:26.995307,9556.74
2020-05-31 03:58:28.055440,9556.89
2020-05-31 03:58:29.106449,9557.0
2020-05-31 03:58:30.246247,9556.92
2020-05-31 03:58:31.336037,9557.01
2020-05-31 03:58:32.403628,9557.73
2020-05-31 03:58:33.491418,9557.26
2020-05-31 03:58:34.591552,9557.55
2020-05-31 03:58:35.680850,9557.78
2020-05-31 03:58:36.757697,9555.47
2020-05-31 03:58:37.819375,9559.46
2020-05-31 03:58:39.051782,9561.35
2020-05-31 03:58:40.174454,9560.39
2020-05-31 03:58:41.244287,9559.09
2020-05-31 03:58:42.283721,9558.96
2020-05-31 03:58:43.320066,9558.74
2020-05-31 03:58:44.455702,9558.58
2020-05-31 03:58:45.543871,9558.03
2020-05-31 03:58:46.563399,9557.95
2020-05-31 03:58:47.615840,9558.37
2020-05-31 03:58:48.644484,9558.35
2020-05-31 03:58:49.701878,9558.97
2020-05-31 03:58:50.874655,9558.73
2020-05-31 03:58:51.945082,9558.97
2020-05-31 03:58:53.029718,9558.24
2020-05-31 03:58:54.211164,9559.0
2020-05-31 03:58:55.347993,9558.66
2020-05-31 03:58:56.409623,9558.97
2020-05-31 03:58:57.451961,9558.5
2020-05-31 03:58:58.559149,9558.53
2020-05-31 03:58:59.657988,9559.61
2020-05-31 03:59:00.771866,9559.66
2020-05-31 03:59:01.893154,9558.7
2020-05-31 03:59:02.968393,9559.86
